Case_ID,Activity,Timestamp,Resource,Amount,Department
PO_0011,Finance Check,2024-06-04 13:00:00,Finance_Y,8000,Finance
PO_0011,Approve,2024-06-04 19:00:00,Manager_1,8000,Finance
PO_0011,Send to Vendor,2024-06-05 01:00:00,System,8000,Finance
PO_0012,Submit Purchase Request,2024-01-15 00:00:00,Employee_A,8000,Marketing
PO_0012,Manager Review,2024-01-15 01:00:00,Manager_3,8000,Marketing
PO_0012,Finance Check,2024-01-15 18:00:00,Finance_X,8000,Marketing
PO_0012,Approve,2024-01-18 18:00:00,Manager_1,8000,Marketing
PO_0012,Send to Vendor,2024-01-18 21:00:00,System,8000,Marketing
PO_0013,Submit Purchase Request,2024-02-12 00:00:00,Employee_D,50000,Finance
PO_0013,Manager Review,2024-02-12 02:00:00,Manager_3,50000,Finance
PO_0013,Finance Check,2024-02-13 02:00:00,Finance_X,50000,Finance
PO_0013,Approve,2024-02-14 21:00:00,Manager_2,50000,Finance
PO_0013,Final Approval,2024-02-15 03:00:00,Director_Beta,50000,Finance
PO_0013,Send to Vendor,2024-02-16 14:00:00,System,50000,Finance
PO_0014,Submit Purchase Request,2024-03-04 00:00:00,Employee_B,50000,IT
PO_0014,Manager Review,2024-03-04 02:00:00,Manager_1,50000,IT
PO_0014,Finance Check,2024-03-04 06:00:00,Finance_Z,50000,IT
PO_0014,Approve,2024-03-04 17:00:00,Manager_1,50000,IT
PO_0014,Final Approval,2024-03-04 19:00:00,Director_Alpha,50000,IT
PO_0014,Send to Vendor,2024-03-05 18:00:00,System,50000,IT
PO_0015,Submit Purchase Request,2024-03-01 00:00:00,Employee_B,1500,Finance
PO_0015,Manager Review,2024-03-01 04:00:00,Manager_1,1500,Finance
PO_0015,Approve,2024-03-01 21:00:00,Manager_2,1500,Finance
PO_0015,Send to Vendor,2024-03-02 01:00:00,System,1500,Finance
PO_0016,Submit Purchase Request,2024-06-17 00:00:00,Employee_D,1500,IT
PO_0016,Manager Review,2024-06-17 01:00:00,Manager_3,1500,IT
PO_0016,Approve,2024-06-17 23:00:00,Manager_3,1500,IT
PO_0016,Send to Vendor,2024-06-18 01:00:00,System,1500,IT
PO_0017,Submit Purchase Request,2024-03-27 00:00:00,Employee_B,500,HR
PO_0017,Manager Review,2024-03-27 02:00:00,Manager_3,500,HR
PO_0017,Approve,2024-03-27 18:00:00,Manager_1,500,HR
PO_0017,Send to Vendor,2024-03-28 01:00:00,System,500,HR
PO_0018,Submit Purchase Request,2024-04-28 00:00:00,Employee_D,3000,Operations
PO_0018,Manager Review,2024-04-28 01:00:00,Manager_1,3000,Operations
PO_0018,Approve,2024-04-28 23:00:00,Manager_3,3000,Operations
PO_0018,Send to Vendor,2024-04-29 00:00:00,System,3000,Operations
PO_0019,Submit Purchase Request,2024-02-12 00:00:00,Employee_D,1500,Marketing
PO_0019,Manager Review,2024-02-12 01:00:00,Manager_1,1500,Marketing
PO_0019,Approve,2024-02-12 15:00:00,Manager_1,1500,Marketing
PO_0019,Send to Vendor,2024-02-12 22:00:00,System,1500,Marketing
PO_0020,Submit Purchase Request,2024-03-14 00:00:00,Employee_D,8000,HR
PO_0020,Manager Review,2024-03-14 02:00:00,Manager_1,8000,HR
PO_0020,Finance Check,2024-03-14 13:00:00,Finance_X,8000,HR
PO_0020,Approve,2024-03-15 00:00:00,Manager_3,8000,HR
PO_0020,Send to Vendor,2024-03-15 01:00:00,System,8000,HR
PO_0021,Submit Purchase Request,2024-01-13 00:00:00,Employee_B,15000,IT
PO_0021,Manager Review,2024-01-13 01:00:00,Manager_3,15000,IT
PO_0021,Finance Check,2024-01-13 05:00:00,Finance_X,15000,IT
PO_0021,Approve,2024-01-13 17:00:00,Manager_3,15000,IT
PO_0021,Final Approval,2024-01-13 19:00:00,Director_Alpha,15000,IT
PO_0021,Send to Vendor,2024-01-14 22:00:00,System,15000,IT
PO_0022,Submit Purchase Request,2024-03-04 00:00:00,Employee_A,1500,Finance
PO_0022,Manager Review,2024-03-04 04:00:00,Manager_3,1500,Finance
PO_0022,Reject,2024-03-05 00:00:00,Manager_3,1500,Finance
PO_0023,Submit Purchase Request,2024-02-22 00:00:00,Employee_C,15000,Operations
PO_0023,Manager Review,2024-02-22 04:00:00,Manager_1,15000,Operations
PO_0023,Finance Check,2024-02-23 03:00:00,Finance_Z,15000,Operations
PO_0023,Approve,2024-02-24 21:00:00,Manager_2,15000,Operations
PO_0023,Final Approval,2024-02-25 03:00:00,Director_Alpha,15000,Operations
PO_0023,Send to Vendor,2024-02-25 05:00:00,System,15000,Operations
PO_0024,Submit Purchase Request,2024-05-24 00:00:00,Employee_B,50000,Finance
PO_0024,Manager Review,2024-05-24 03:00:00,Manager_1,50000,Finance
PO_0024,Finance Check,2024-05-24 16:00:00,Finance_X,50000,Finance
PO_0024,Reject,2024-05-26 03:00:00,Manager_2,50000,Finance
PO_0025,Submit Purchase Request,2024-04-22 00:00:00,Employee_A,8000,Marketing
PO_0025,Manager Review,2024-04-22 03:00:00,Manager_3,8000,Marketing
PO_0025,Finance Check,2024-04-22 08:00:00,Finance_X,8000,Marketing
PO_0025,Approve,2024-04-23 21:00:00,Manager_1,8000,Marketing
PO_0025,Send to Vendor,2024-04-23 23:00:00,System,8000,Marketing
PO_0026,Submit Purchase Request,2024-03-13 00:00:00,Employee_B,3000,Operations
PO_0026,Manager Review,2024-03-13 03:00:00,Manager_3,3000,Operations
PO_0026,Approve,2024-03-13 20:00:00,Manager_2,3000,Operations
PO_0026,Send to Vendor,2024-03-13 21:00:00,System,3000,Operations
PO_0027,Submit Purchase Request,2024-03-11 00:00:00,Employee_B,1500,HR
PO_0027,Manager Review,2024-03-11 03:00:00,Manager_1,1500,HR
PO_0027,Rework Request,2024-03-11 19:00:00,Employee_D,1500,HR
PO_0027,Manager Review,2024-03-13 10:00:00,Manager_1,1500,HR
PO_0027,Approve,2024-03-13 13:00:00,Manager_1,1500,HR
PO_0027,Send to Vendor,2024-03-13 16:00:00,System,1500,HR
PO_0028,Submit Purchase Request,2024-05-29 00:00:00,Employee_A,500,Operations
PO_0028,Manager Review,2024-05-29 03:00:00,Manager_2,500,Operations
PO_0028,Approve,2024-05-29 06:00:00,Manager_2,500,Operations
PO_0028,Send to Vendor,2024-05-29 10:00:00,System,500,Operations
PO_0029,Submit Purchase Request,2024-03-31 00:00:00,Employee_D,5500,IT
PO_0029,Manager Review,2024-03-31 02:00:00,Manager_1,5500,IT
PO_0029,Finance Check,2024-03-31 09:00:00,Finance_X,5500,IT
PO_0029,Approve,2024-04-02 17:00:00,Manager_1,5500,IT
PO_0029,Send to Vendor,2024-04-02 20:00:00,System,5500,IT
PO_0030,Submit Purchase Request,2024-06-20 00:00:00,Employee_C,15000,HR
PO_0030,Manager Review,2024-06-20 02:00:00,Manager_3,15000,HR
PO_0030,Finance Check,2024-06-20 07:00:00,Finance_Y,15000,HR
PO_0030,Approve,2024-06-20 15:00:00,Manager_2,15000,HR
PO_0030,Final Approval,2024-06-20 19:00:00,Director_Alpha,15000,HR
PO_0030,Send to Vendor,2024-06-22 02:00:00,System,15000,HR
PO_0031,Submit Purchase Request,2024-02-28 00:00:00,Employee_D,15000,Operations
PO_0031,Manager Review,2024-02-28 03:00:00,Manager_2,15000,Operations
PO_0031,Finance Check,2024-02-28 07:00:00,Finance_Y,15000,Operations
PO_0031,Approve,2024-03-01 07:00:00,Manager_3,15000,Operations
PO_0031,Final Approval,2024-03-01 14:00:00,Director_Beta,15000,Operations
PO_0031,Send to Vendor,2024-03-01 17:00:00,System,15000,Operations
PO_0032,Submit Purchase Request,2024-02-15 00:00:00,Employee_A,1500,Operations
PO_0032,Manager Review,2024-02-15 01:00:00,Manager_3,1500,Operations
PO_0032,Approve,2024-02-15 16:00:00,Manager_2,1500,Operations
PO_0032,Send to Vendor,2024-02-15 22:00:00,System,1500,Operations
PO_0033,Submit Purchase Request,2024-05-10 00:00:00,Employee_B,25000,Finance
PO_0033,Manager Review,2024-05-10 03:00:00,Manager_1,25000,Finance
PO_0033,Rework Request,2024-05-11 03:00:00,Employee_D,25000,Finance
PO_0033,Manager Review,2024-05-11 07:00:00,Manager_3,25000,Finance
PO_0033,Finance Check,2024-05-11 17:00:00,Finance_Z,25000,Finance
PO_0033,Approve,2024-05-12 22:00:00,Manager_2,25000,Finance
PO_0033,Final Approval,2024-05-13 05:00:00,Director_Alpha,25000,Finance
PO_0033,Send to Vendor,2024-05-15 01:00:00,System,25000,Finance
PO_0034,Submit Purchase Request,2024-03-21 00:00:00,Employee_C,15000,Finance
PO_0034,Manager Review,2024-03-21 03:00:00,Manager_3,15000,Finance
PO_0034,Finance Check,2024-03-21 18:00:00,Finance_Y,15000,Finance
PO_0034,Approve,2024-03-24 01:00:00,Manager_3,15000,Finance
PO_0034,Final Approval,2024-03-24 06:00:00,Director_Alpha,15000,Finance
PO_0034,Send to Vendor,2024-03-24 20:00:00,System,15000,Finance
PO_0035,Submit Purchase Request,2024-06-22 00:00:00,Employee_C,25000,HR
PO_0035,Manager Review,2024-06-22 04:00:00,Manager_3,25000,HR
PO_0035,Finance Check,2024-06-22 06:00:00,Finance_Y,25000,HR
PO_0035,Approve,2024-06-23 22:00:00,Manager_1,25000,HR
PO_0035,Final Approval,2024-06-24 05:00:00,Director_Beta,25000,HR
PO_0035,Send to Vendor,2024-06-25 12:00:00,System,25000,HR
PO_0036,Submit Purchase Request,2024-06-21 00:00:00,Employee_B,50000,HR
PO_0036,Manager Review,2024-06-21 01:00:00,Manager_2,50000,HR
PO_0036,Finance Check,2024-06-21 19:00:00,Finance_Z,50000,HR
PO_0036,Approve,2024-06-23 17:00:00,Manager_1,50000,HR
PO_0036,Final Approval,2024-06-23 21:00:00,Director_Beta,50000,HR
PO_0036,Send to Vendor,2024-06-24 13:00:00,System,50000,HR
PO_0037,Submit Purchase Request,2024-01-07 00:00:00,Employee_A,5500,Marketing
PO_0037,Manager Review,2024-01-07 04:00:00,Manager_2,5500,Marketing
PO_0037,Rework Request,2024-01-08 02:00:00,Employee_B,5500,Marketing
PO_0037,Manager Review,2024-01-10 02:00:00,Manager_2,5500,Marketing
PO_0037,Finance Check,2024-01-10 11:00:00,Finance_Y,5500,Marketing
PO_0037,Approve,2024-01-11 22:00:00,Manager_1,5500,Marketing
PO_0037,Send to Vendor,2024-01-11 23:00:00,System,5500,Marketing
PO_0038,Submit Purchase Request,2024-02-26 00:00:00,Employee_D,1500,HR
PO_0038,Manager Review,2024-02-26 01:00:00,Manager_3,1500,HR
PO_0038,Approve,2024-02-26 10:00:00,Manager_1,1500,HR
PO_0038,Send to Vendor,2024-02-26 18:00:00,System,1500,HR
PO_0039,Submit Purchase Request,2024-06-19 00:00:00,Employee_C,3000,HR
PO_0039,Manager Review,2024-06-19 04:00:00,Manager_3,3000,HR
PO_0039,Approve,2024-06-19 22:00:00,Manager_2,3000,HR
PO_0039,Send to Vendor,2024-06-20 06:00:00,System,3000,HR
PO_0040,Submit Purchase Request,2024-04-25 00:00:00,Employee_C,3000,HR
PO_0040,Manager Review,2024-04-25 04:00:00,Manager_3,3000,HR
PO_0040,Approve,2024-04-25 13:00:00,Manager_2,3000,HR
PO_0040,Send to Vendor,2024-04-25 21:00:00,System,3000,HR
PO_0041,Submit Purchase Request,2024-03-01 00:00:00,Employee_A,1500,Operations
PO_0041,Manager Review,2024-03-01 02:00:00,Manager_1,1500,Operations
PO_0041,Approve,2024-03-01 11:00:00,Manager_2,1500,Operations
PO_0041,Send to Vendor,2024-03-01 14:00:00,System,1500,Operations
PO_0042,Submit Purchase Request,2024-04-16 00:00:00,Employee_D,5500,IT
PO_0042,Manager Review,2024-04-16 01:00:00,Manager_1,5500,IT
PO_0042,Finance Check,2024-04-16 16:00:00,Finance_Y,5500,IT
PO_0042,Approve,2024-04-16 22:00:00,Manager_3,5500,IT
PO_0042,Send to Vendor,2024-04-17 05:00:00,System,5500,IT
PO_0043,Submit Purchase Request,2024-03-31 00:00:00,Employee_D,50000,IT
PO_0043,Manager Review,2024-03-31 02:00:00,Manager_2,50000,IT
PO_0043,Finance Check,2024-03-31 11:00:00,Finance_Y,50000,IT
PO_0043,Approve,2024-04-02 22:00:00,Manager_2,50000,IT
PO_0043,Final Approval,2024-04-02 23:00:00,Director_Beta,50000,IT
PO_0043,Send to Vendor,2024-04-03 22:00:00,System,50000,IT
PO_0044,Submit Purchase Request,2024-04-29 00:00:00,Employee_A,25000,Marketing
PO_0044,Manager Review,2024-04-29 04:00:00,Manager_3,25000,Marketing
PO_0044,Finance Check,2024-04-30 00:00:00,Finance_Z,25000,Marketing
PO_0044,Approve,2024-04-30 07:00:00,Manager_1,25000,Marketing
PO_0044,Final Approval,2024-04-30 14:00:00,Director_Alpha,25000,Marketing
PO_0044,Send to Vendor,2024-05-01 21:00:00,System,25000,Marketing
PO_0045,Submit Purchase Request,2024-03-07 00:00:00,Employee_C,3000,IT
PO_0045,Manager Review,2024-03-07 03:00:00,Manager_2,3000,IT
PO_0045,Approve,2024-03-07 13:00:00,Manager_2,3000,IT
PO_0045,Send to Vendor,2024-03-07 18:00:00,System,3000,IT
PO_0046,Submit Purchase Request,2024-01-05 00:00:00,Employee_C,1500,HR
PO_0046,Manager Review,2024-01-05 02:00:00,Manager_3,1500,HR
PO_0046,Reject,2024-01-05 06:00:00,Manager_3,1500,HR
PO_0047,Submit Purchase Request,2024-03-04 00:00:00,Employee_B,500,IT
PO_0047,Manager Review,2024-03-04 02:00:00,Manager_1,500,IT
PO_0047,Reject,2024-03-04 19:00:00,Manager_3,500,IT
PO_0048,Submit Purchase Request,2024-02-25 00:00:00,Employee_C,1500,Finance
PO_0048,Manager Review,2024-02-25 02:00:00,Manager_3,1500,Finance
PO_0048,Approve,2024-02-25 23:00:00,Manager_3,1500,Finance
PO_0048,Send to Vendor,2024-02-26 01:00:00,System,1500,Finance
PO_0049,Submit Purchase Request,2024-01-28 00:00:00,Employee_D,3000,Operations
PO_0049,Manager Review,2024-01-28 04:00:00,Manager_3,3000,Operations
PO_0049,Approve,2024-01-28 12:00:00,Manager_1,3000,Operations
PO_0049,Send to Vendor,2024-01-28 16:00:00,System,3000,Operations
PO_0050,Submit Purchase Request,2024-06-24 00:00:00,Employee_A,1500,Operations
PO_0050,Manager Review,2024-06-24 03:00:00,Manager_3,1500,Operations
PO_0050,Approve,2024-06-24 18:00:00,Manager_3,1500,Operations
PO_0050,Send to Vendor,2024-06-25 00:00:00,System,1500,Operations
PO_0051,Submit Purchase Request,2024-06-14 00:00:00,Employee_D,1500,Finance
PO_0051,Manager Review,2024-06-14 01:00:00,Manager_2,1500,Finance
PO_0051,Approve,2024-06-14 14:00:00,Manager_3,1500,Finance
PO_0051,Send to Vendor,2024-06-14 22:00:00,System,1500,Finance
PO_0052,Submit Purchase Request,2024-02-15 00:00:00,Employee_C,3000,HR
PO_0052,Manager Review,2024-02-15 04:00:00,Manager_2,3000,HR
PO_0052,Approve,2024-02-15 19:00:00,Manager_3,3000,HR
PO_0052,Send to Vendor,2024-02-16 00:00:00,System,3000,HR
PO_0053,Submit Purchase Request,2024-01-23 00:00:00,Employee_D,15000,Marketing
PO_0053,Manager Review,2024-01-23 04:00:00,Manager_2,15000,Marketing
PO_0053,Finance Check,2024-01-23 06:00:00,Finance_Y,15000,Marketing
PO_0053,Approve,2024-01-25 03:00:00,Manager_1,15000,Marketing
PO_0053,Final Approval,2024-01-25 11:00:00,Director_Alpha,15000,Marketing
PO_0053,Send to Vendor,2024-01-26 11:00:00,System,15000,Marketing
PO_0054,Submit Purchase Request,2024-03-12 00:00:00,Employee_C,8000,Operations
PO_0054,Manager Review,2024-03-12 01:00:00,Manager_3,8000,Operations
PO_0054,Finance Check,2024-03-12 09:00:00,Finance_X,8000,Operations
PO_0054,Approve,2024-03-13 19:00:00,Manager_3,8000,Operations
PO_0054,Send to Vendor,2024-03-14 02:00:00,System,8000,Operations
PO_0055,Submit Purchase Request,2024-03-02 00:00:00,Employee_D,50000,Finance
PO_0055,Manager Review,2024-03-02 04:00:00,Manager_1,50000,Finance
PO_0055,Finance Check,2024-03-02 08:00:00,Finance_Y,50000,Finance
PO_0055,Approve,2024-03-03 16:00:00,Manager_2,50000,Finance
PO_0055,Final Approval,2024-03-03 20:00:00,Director_Beta,50000,Finance
PO_0055,Send to Vendor,2024-03-05 16:00:00,System,50000,Finance
PO_0056,Submit Purchase Request,2024-05-21 00:00:00,Employee_C,15000,HR
PO_0056,Manager Review,2024-05-21 03:00:00,Manager_3,15000,HR
PO_0056,Finance Check,2024-05-21 19:00:00,Finance_Y,15000,HR
PO_0056,Approve,2024-05-23 14:00:00,Manager_2,15000,HR
PO_0056,Final Approval,2024-05-23 18:00:00,Director_Alpha,15000,HR
PO_0056,Send to Vendor,2024-05-25 18:00:00,System,15000,HR
PO_0057,Submit Purchase Request,2024-01-31 00:00:00,Employee_B,5500,Operations
PO_0057,Manager Review,2024-01-31 02:00:00,Manager_1,5500,Operations
PO_0057,Finance Check,2024-01-31 19:00:00,Finance_Y,5500,Operations
PO_0057,Approve,2024-02-03 18:00:00,Manager_3,5500,Operations
PO_0057,Send to Vendor,2024-02-03 23:00:00,System,5500,Operations
PO_0058,Submit Purchase Request,2024-03-16 00:00:00,Employee_A,1500,Marketing
PO_0058,Manager Review,2024-03-16 02:00:00,Manager_2,1500,Marketing
PO_0058,Approve,2024-03-16 05:00:00,Manager_1,1500,Marketing
PO_0058,Send to Vendor,2024-03-16 10:00:00,System,1500,Marketing
PO_0059,Submit Purchase Request,2024-01-27 00:00:00,Employee_D,3000,HR
PO_0059,Manager Review,2024-01-27 04:00:00,Manager_2,3000,HR
PO_0059,Approve,2024-01-27 16:00:00,Manager_1,3000,HR
PO_0059,Send to Vendor,2024-01-27 17:00:00,System,3000,HR
PO_0060,Submit Purchase Request,2024-01-30 00:00:00,Employee_A,8000,HR
PO_0060,Manager Review,2024-01-30 01:00:00,Manager_1,8000,HR
PO_0060,Finance Check,2024-01-30 07:00:00,Finance_Z,8000,HR
PO_0060,Approve,2024-02-01 01:00:00,Manager_1,8000,HR
PO_0060,Send to Vendor,2024-02-01 05:00:00,System,8000,HR
PO_0061,Submit Purchase Request,2024-04-16 00:00:00,Employee_B,1500,Finance
PO_0061,Manager Review,2024-04-16 04:00:00,Manager_2,1500,Finance
PO_0061,Approve,2024-04-16 20:00:00,Manager_2,1500,Finance
PO_0061,Send to Vendor,2024-04-17 03:00:00,System,1500,Finance
PO_0062,Submit Purchase Request,2024-06-07 00:00:00,Employee_A,8000,Finance
PO_0062,Manager Review,2024-06-07 02:00:00,Manager_3,8000,Finance
PO_0062,Rework Request,2024-06-07 10:00:00,Employee_C,8000,Finance
PO_0062,Manager Review,2024-06-09 08:00:00,Manager_1,8000,Finance
PO_0062,Finance Check,2024-06-09 12:00:00,Finance_X,8000,Finance
PO_0062,Approve,2024-06-10 14:00:00,Manager_3,8000,Finance
PO_0062,Send to Vendor,2024-06-10 16:00:00,System,8000,Finance
PO_0063,Submit Purchase Request,2024-04-14 00:00:00,Employee_C,3000,IT
PO_0063,Manager Review,2024-04-14 01:00:00,Manager_1,3000,IT
PO_0063,Approve,2024-04-14 12:00:00,Manager_3,3000,IT
PO_0063,Send to Vendor,2024-04-14 17:00:00,System,3000,IT
PO_0064,Submit Purchase Request,2024-06-24 00:00:00,Employee_B,50000,IT
PO_0064,Manager Review,2024-06-24 04:00:00,Manager_1,50000,IT
PO_0064,Finance Check,2024-06-24 23:00:00,Finance_X,50000,IT
PO_0064,Approve,2024-06-25 22:00:00,Manager_2,50000,IT
PO_0064,Final Approval,2024-06-26 01:00:00,Director_Alpha,50000,IT
PO_0064,Send to Vendor,2024-06-26 06:00:00,System,50000,IT
PO_0065,Submit Purchase Request,2024-06-01 00:00:00,Employee_C,3000,Operations
PO_0065,Manager Review,2024-06-01 04:00:00,Manager_1,3000,Operations
PO_0065,Approve,2024-06-01 20:00:00,Manager_3,3000,Operations
PO_0065,Send to Vendor,2024-06-02 01:00:00,System,3000,Operations
PO_0066,Submit Purchase Request,2024-05-08 00:00:00,Employee_A,25000,Operations
PO_0066,Manager Review,2024-05-08 04:00:00,Manager_3,25000,Operations
PO_0066,Finance Check,2024-05-08 16:00:00,Finance_Z,25000,Operations
PO_0066,Approve,2024-05-10 04:00:00,Manager_1,25000,Operations
PO_0066,Final Approval,2024-05-10 06:00:00,Director_Alpha,25000,Operations
PO_0066,Send to Vendor,2024-05-12 03:00:00,System,25000,Operations
PO_0067,Submit Purchase Request,2024-05-27 00:00:00,Employee_D,500,Operations
PO_0067,Manager Review,2024-05-27 04:00:00,Manager_2,500,Operations
PO_0067,Rework Request,2024-05-27 11:00:00,Employee_D,500,Operations
PO_0067,Manager Review,2024-05-29 07:00:00,Manager_2,500,Operations
PO_0067,Approve,2024-05-29 10:00:00,Manager_2,500,Operations
PO_0067,Send to Vendor,2024-05-29 16:00:00,System,500,Operations
PO_0068,Submit Purchase Request,2024-03-23 00:00:00,Employee_C,25000,Operations
PO_0068,Manager Review,2024-03-23 04:00:00,Manager_3,25000,Operations
PO_0068,Finance Check,2024-03-23 21:00:00,Finance_Y,25000,Operations
PO_0068,Approve,2024-03-26 04:00:00,Manager_3,25000,Operations
PO_0068,Final Approval,2024-03-26 05:00:00,Director_Beta,25000,Operations
PO_0068,Send to Vendor,2024-03-26 12:00:00,System,25000,Operations
PO_0069,Submit Purchase Request,2024-03-23 00:00:00,Employee_A,15000,Operations
PO_0069,Manager Review,2024-03-23 04:00:00,Manager_2,15000,Operations
PO_0069,Rework Request,2024-03-23 07:00:00,Employee_B,15000,Operations
PO_0069,Manager Review,2024-03-24 20:00:00,Manager_2,15000,Operations
PO_0069,Finance Check,2024-03-25 07:00:00,Finance_Y,15000,Operations
PO_0069,Approve,2024-03-27 19:00:00,Manager_1,15000,Operations
PO_0069,Final Approval,2024-03-27 23:00:00,Director_Beta,15000,Operations
PO_0069,Send to Vendor,2024-03-29 12:00:00,System,15000,Operations
PO_0070,Submit Purchase Request,2024-04-22 00:00:00,Employee_A,3000,Operations
PO_0070,Manager Review,2024-04-22 02:00:00,Manager_3,3000,Operations
PO_0070,Approve,2024-04-22 09:00:00,Manager_2,3000,Operations
PO_0070,Send to Vendor,2024-04-22 10:00:00,System,3000,Operations
PO_0071,Submit Purchase Request,2024-02-27 00:00:00,Employee_D,25000,IT
PO_0071,Manager Review,2024-02-27 01:00:00,Manager_3,25000,IT
PO_0071,Finance Check,2024-02-27 07:00:00,Finance_Y,25000,IT
PO_0071,Approve,2024-02-29 00:00:00,Manager_3,25000,IT
PO_0071,Final Approval,2024-02-29 05:00:00,Director_Beta,25000,IT
PO_0071,Send to Vendor,2024-03-01 13:00:00,System,25000,IT
PO_0072,Submit Purchase Request,2024-04-26 00:00:00,Employee_B,50000,Marketing
PO_0072,Manager Review,2024-04-26 01:00:00,Manager_2,50000,Marketing
PO_0072,Finance Check,2024-04-26 16:00:00,Finance_Y,50000,Marketing
PO_0072,Approve,2024-04-29 12:00:00,Manager_2,50000,Marketing
PO_0072,Final Approval,2024-04-29 13:00:00,Director_Beta,50000,Marketing
PO_0072,Send to Vendor,2024-05-01 13:00:00,System,50000,Marketing
PO_0073,Submit Purchase Request,2024-05-28 00:00:00,Employee_B,8000,Finance
PO_0073,Manager Review,2024-05-28 04:00:00,Manager_3,8000,Finance
PO_0073,Finance Check,2024-05-28 21:00:00,Finance_Y,8000,Finance
PO_0073,Approve,2024-05-30 19:00:00,Manager_3,8000,Finance
PO_0073,Send to Vendor,2024-05-31 02:00:00,System,8000,Finance
PO_0074,Submit Purchase Request,2024-02-18 00:00:00,Employee_D,50000,Operations
